rate,depth,x,y
35.3287969481,0,5959907.921,0.0445
22.7166521353,10,5959889.8544,0.932
20.1805735444,10,5959895.8532,0.6947
33.8084059162,10,5959899.1469,0.5484
26.276716991,10,5959901.9264,0.3818
36.5965380816,10,5959907.921,-0.0555
5.6013196555,30,5959889.8544,0.732
4.005515754,30,5959895.8532,0.4947
4.0376250635,30,5959899.1469,0.3484
3.1095624971,30,5959901.9264,0.1818
3.2479128031,30,5959907.921,-0.2555
7.8838269107,50,5959889.8544,0.532
3.8038080359,50,5959895.8532,0.2947
4.2489360097,50,5959899.1469,0.1484
4.0178192881,50,5959901.9264,-0.0182
7.0534410198,50,5959907.921,-0.4555
10.9744079202,60,5959889.8544,0.432
4.0068018396,70,5959895.8532,0.0947
27.6580770439,70,5959899.1469,-0.0516
2.8344082076,80,5959901.9264,-0.3182
3.9127827541,80,5959907.921,-0.7555
