oxygen,depth,x,y,y_cor
NA,10,5959886.92,1.0653,1.0653
NA,10,5959889.854,0.932,1.0653
NA,10,5959892.952,0.811,1.0653
NA,10,5959895.853,0.6947,1.0653
91,10,5959899.147,0.5484,1.0653
85,10,5959901.926,0.3818,1.0653
89,10,5959905.034,0.0852,1.0653
92,10,5959907.921,-0.0555,1.0653
87,10,5959906.851,0.0275,1.0653
98,10,5959905.23,0.0958,1.0653
92,10,5959903.56,0.2832,1.0653
89,10,5959910.984,-0.1524,1.0653
2,10,5959913.961,-0.2367,1.0653
3,10,5959916.912,-0.307,1.0653
3,10,5959919.813,-0.3563,1.0653
1,10,5959922.955,-0.4073,1.0653
2,10,5959926.08,-0.3809,1.0653
1,10,5959929.152,-0.4315,1.0653
NA,30,5959886.92,0.8653,0.8653
85,30,5959889.854,0.732,0.8653
82,30,5959892.952,0.611,0.8653
81,30,5959895.853,0.4947,0.8653
86,30,5959899.147,0.3484,0.8653
84,30,5959901.926,0.1818,0.8653
90,30,5959905.034,-0.1148,0.8653
95,30,5959907.921,-0.2555,0.8653
97,30,5959906.851,-0.1725,0.8653
102,30,5959905.23,-0.1042,0.8653
92,30,5959903.56,0.0832,0.8653
85,30,5959910.984,-0.3524,0.8653
2,30,5959913.961,-0.4367,0.8653
4,30,5959916.912,-0.507,0.8653
1,30,5959919.813,-0.5563,0.8653
2,30,5959922.955,-0.6073,0.8653
1,30,5959926.08,-0.5809,0.8653
1,30,5959929.152,-0.6315,0.8653
93,50,5959886.92,0.6653,0.6653
87,50,5959889.854,0.532,0.6653
86,50,5959892.952,0.411,0.6653
86,50,5959895.853,0.2947,0.6653
88,50,5959899.147,0.1484,0.6653
88,50,5959901.926,-0.0182,0.6653
91,50,5959905.034,-0.3148,0.6653
98,50,5959907.921,-0.4555,0.6653
98,50,5959906.851,-0.3725,0.6653
102,50,5959905.23,-0.3042,0.6653
95,50,5959903.56,-0.1168,0.6653
70,50,5959910.984,-0.5524,0.6653
6,50,5959913.961,-0.6367,0.6653
7,50,5959916.912,-0.707,0.6653
5,50,5959919.813,-0.7563,0.6653
2,50,5959922.955,-0.8073,0.6653
2,50,5959926.08,-0.7809,0.6653
2,50,5959929.152,-0.8315,0.6653
92,100,5959886.92,0.1653,0.1653
92,100,5959889.854,0.032,0.1653
88,100,5959892.952,-0.089,0.1653
88,100,5959895.853,-0.2053,0.1653
87,100,5959899.147,-0.3516,0.1653
88,100,5959901.926,-0.5182,0.1653
94,100,5959905.034,-0.8148,0.1653
88,100,5959907.921,-0.9555,0.1653
99,100,5959906.851,-0.8725,0.1653
96,100,5959905.23,-0.8042,0.1653
93,100,5959903.56,-0.6168,0.1653
2,100,5959910.984,-1.0524,0.1653
73,100,5959913.961,-1.1367,0.1653
13,100,5959916.912,-1.207,0.1653
1,100,5959919.813,-1.2563,0.1653
11,100,5959922.955,-1.3073,0.1653
5,100,5959926.08,-1.2809,0.1653
1,100,5959929.152,-1.3315,0.1653
